Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5
,,,,,,,93,107.3994954,97.49139124,94.90081002,32.9679289,5.791476601
,,,,,,,94,102.8601641,93.7780329,88.65816537,29.77676142,5.230884157
,,,,,,,95,101.8371761,90.56270787,85.89867022,27.65785181,4.858655273
,,,,,,,96,98.64283183,87.33643706,84.8597308,27.86910262,4.895765706
,,,,,,,97,88.89452529,78.04072717,82.33745014,26.72962857,4.695594281
,,,,,,,98,83.89356709,76.86679148,82.64072436,26.77123858,4.702903912
,,,,,,,99,81.50564517,76.9324662,83.7637398,26.20470232,4.603380479
,,,,,,,100,78.80427288,75.22492338,82.25337411,26.1758954,4.598319966
,,,,,,,101,76.45624465,77.77255538,85.71850731,27.0977171,4.760256399
,,,,,,,102,73.22200672,82.64069429,87.88947031,28.83893587,5.066136328
,,,,,,,103,82.85063222,90.46145934,91.41766053,30.27608151,5.318599725
,,,,,,,104,91.38218141,98.68448206,93.07816197,30.75619698,5.402941618
,,,,,,,105,99.32672355,100.8791124,93.66369141,30.78820467,5.40856441
,,,,,,,106,99.3181749,103.963088,94.38434303,30.94824316,5.436678374
,,,,,,,107,100.3953044,103.834475,94.73265797,30.17685764,5.301169068
,,,,,,,108,97.66543658,102.5155076,92.58271398,30.15125148,5.296670833
,,,,,,,109,96.23211352,98.85414177,91.68189946,28.50285504,5.007097003
,,,,,,,110,95.14358587,95.60871583,89.98236272,27.81148876,4.885644678
,,,,,,,111,96.46292698,95.18456657,88.70020338,28.16037267,4.94693312
,,,,,,,112,95.75338932,95.43905612,88.59811107,27.96512571,4.912634084
,,,,,,,113,97.01573945,96.9222103,91.39964424,30.2024638,5.305667302
,,,,,,,114,98.8337516,96.91126452,91.48372026,36.38955182,6.392553153
,,,,,,,115,105.1711482,101.9080164,93.99399007,36.47277183,6.407172415
,,,,,,,116,114.4492792,101.4565027,95.04794306,35.85822403,6.299214793
,,,,,,,117,110.8702459,96.1094856,93.24631401,34.66753767,6.0900469
,,,,,,,118,106.0773047,91.60803056,92.05723884,31.325934,5.50302733
,,,,,,,119,105.014423,86.76451967,87.02769109,29.05978898,5.104933598
,,,,,,,120,101.5750176,83.28649575,84.52342671,29.32545288,5.151602779
,,,,,,,121,89.13958649,78.04072717,83.27729995,26.75203396,4.699530236
,,,,,,,122,84.11298235,76.86679148,84.66155161,26.7904432,4.706277588
,,,,,,,123,81.70796314,76.9324662,84.15709547,26.22390694,4.606754155
,,,,,,,124,79.01798904,75.22492338,84.33125295,26.19510002,4.601693641
,,,,,,,125,76.66711126,77.77255538,86.25899603,27.11692172,4.763630074
,,,,,,,126,73.5183598,82.64069429,88.94342331,28.85814049,5.069510004
