juris,year,ev_stock,ev_stock_2,ev_flow,ev_flow_2,ev_stock_src,ev_stock_2_src,ev_flow_src,ev_flow_2_src,out_stock,fast_stock,out_flow,fast_flow,out_stock_src,fast_stock_src,out_flow_src,fast_flow_src
Illinois,2016,,,,2688,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1838,,,,https://afdc.energy.gov/stations/states,,,
Illinois,2017,,,,3812,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1838,,,,https://afdc.energy.gov/stations/states,,,
Illinois,2018,,,,7357,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1838,,,,https://afdc.energy.gov/stations/states,,,
Illinois,2019,,,,,,,,,1838,,,,https://afdc.energy.gov/stations/states,,,
Indiana,2016,,,,671,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,615,,,,https://afdc.energy.gov/stations/states,,,
Indiana,2017,,,,933,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,615,,,,https://afdc.energy.gov/stations/states,,,
Indiana,2018,,,,2036,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,615,,,,https://afdc.energy.gov/stations/states,,,
Indiana,2019,,,,,,,,,615,,,,https://afdc.energy.gov/stations/states,,,
Iowa,2016,,,,280,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,352,,,,https://afdc.energy.gov/stations/states,,,
Iowa,2017,,,,433,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,352,,,,https://afdc.energy.gov/stations/states,,,
Iowa,2018,,,,917,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,352,,,,https://afdc.energy.gov/stations/states,,,
Iowa,2019,,,,,,,,,352,,,,https://afdc.energy.gov/stations/states,,,
Japan,2014,102000,,,,IEA 2019,,,,12000,2900,,,IEA 2019,IEA 2019,,
Japan,2015,126000,,,,IEA 2019,,,,22000,6000,,,IEA 2019,IEA 2019,,
Japan,2016,151000,,,,IEA 2019,,,,24000,7000,,,IEA 2019,IEA 2019,,
Japan,2017,205000,,,,IEA 2019,,,,29000,7300,,,IEA 2019,IEA 2019,,
Japan,2018,255000,,,,IEA 2019,,,,30000,7700,,,IEA 2019,IEA 2019,,
Kansas,2016,,,,384,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,926,,,,https://afdc.energy.gov/stations/states,,,
Kansas,2017,,,,452,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,926,,,,https://afdc.energy.gov/stations/states,,,
Kansas,2018,,,,943,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,926,,,,https://afdc.energy.gov/stations/states,,,
Kansas,2019,,,,,,,,,926,,,,https://afdc.energy.gov/stations/states,,,
Kentucky,2016,,,,280,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,317,,,,https://afdc.energy.gov/stations/states,,,
Kentucky,2017,,,,360,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,317,,,,https://afdc.energy.gov/stations/states,,,
Kentucky,2018,,,,787,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,317,,,,https://afdc.energy.gov/stations/states,,,
Kentucky,2019,,,,,,,,,317,,,,https://afdc.energy.gov/stations/states,,,
Louisiana,2016,,,,270,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,293,,,,https://afdc.energy.gov/stations/states,,,
Louisiana,2017,,,,283,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,293,,,,https://afdc.energy.gov/stations/states,,,
Louisiana,2018,,,,613,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,293,,,,https://afdc.energy.gov/stations/states,,,
Louisiana,2019,,,,,,,,,293,,,,https://afdc.energy.gov/stations/states,,,
Maine,2016,,,,298,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,433,,,,https://afdc.energy.gov/stations/states,,,
Maine,2017,,,,464,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,433,,,,https://afdc.energy.gov/stations/states,,,
Maine,2018,,,,799,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,433,,,,https://afdc.energy.gov/stations/states,,,
Maine,2019,,,,,,,,,433,,,,https://afdc.energy.gov/stations/states,,,
Maryland,2016,,,,2185,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,2145,,,,https://afdc.energy.gov/stations/states,,,
Maryland,2017,,,,3244,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,2145,,,,https://afdc.energy.gov/stations/states,,,
Maryland,2018,,,,6299,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,2145,,,,https://afdc.energy.gov/stations/states,,,
Maryland,2019,,,,,,,,,2145,,,,https://afdc.energy.gov/stations/states,,,
Massachusetts,2016,,,,2905,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,2467,,,,https://afdc.energy.gov/stations/states,,,
Massachusetts,2017,,,,4632,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,2467,,,,https://afdc.energy.gov/stations/states,,,
Massachusetts,2018,,,,8990,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,2467,,,,https://afdc.energy.gov/stations/states,,,
Massachusetts,2019,,,,,,,,,2467,,,,https://afdc.energy.gov/stations/states,,,
