State,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2025,2030,2035,2040,2045,2050
Karnataka,84846720000.0,97357820000.00002,114333240000.0,127949220000.0,146323520000.0,169279040000.0,189035980000.00003,214931360000.00003,222362420000.00003,249967830000.0,356334737500.0055,468359640000.00287,591322200000.0,734274076666.6727,895707604166.6699,1054125800000.0
Kerala,50966720000.00001,57723820000.00001,65105740000.00001,71758960000.0,78679160000.0,88881940000.0,98074480000.0,122571960000.0,122914420000.0,135485457600.0,191521239000.0,250531358400.00003,315331273600.0,390719334400.0,475862975000.0,559341484000.0
Madhya Pradesh,44178680000.00001,53329500000.0,61527620000.0,67191460000.0,75766460000.0,90838860000.0,101953880000.00002,113305780000.0,134740200000.0,140886633000.0,204288192500.00275,271075914000.00143,344324120000.00006,429364574333.33636,525380395833.33496,619762455000.0
Maharashtra,179251660000.0,204348060000.0,230950580000.0,249079320000.0,275260580000.0,306394480000.0,337624000000.0,371917140000.0,417137840000.0,441193197000.0,609865042500.0,787433778000.0,982673272000.0001,1210288653000.0,1467437312500.0,1718900755000.0
Manipur,1808100000.0,1924020000.0000002,2265480000.0,2538060000.0,2734340000.0000005,2981160000.0,3355520000.0,3583178666.666687,3854630666.666687,4208604320.000021,5757509800.000022,7387850880.000023,9181606186.66669,11275044746.66669,13640478333.333359,15950535466.666693
Meghalaya,2788520000.0000005,3062080000.0000005,3211320000.0,3252900000.0,3516380000.0000005,3841460000.0,4310600000.0,4372106666.666687,4612006666.666687,4948944800.000021,6353977000.000022,7830979200.000023,9464455466.66669,11386889866.66669,13561758333.333359,15663578666.666693
Mizoram,1016260000.0,1170680000.0,1441020000.0,1891260000.0,2119460000.0,2406880000.0,2723980000.0000005,3048108000.0,3359316000.0,3743934480.0,5487892200.0,7325212320.000001,9339281280.0,11675727120.0,14313405000.0,16908793200.0
Nagaland,1704780000.0,1976940000.0000002,2325680000.0,2576140000.0000005,2733360000.0,3041080000.0,3399340000.0000005,3616965333.333313,3885977333.333313,4238089119.9999795,5775051799.999979,7392718079.999978,9172989653.333311,11251570613.33331,13600361666.666641,15892954133.333307
Odisha,32338180000.000004,36638000000.0,41506500000.0,43995000000.0,45997000000.0,55133120000.0,61092360000.0,67952640000.0,75713680000.0,80047488600.0,111538617750.0,144694706400.0,181133013600.00003,223580771400.0,271530693750.0,318466044000.0
Punjab,37327920000.0,41682760000.0,46500580000.0,49714280000.0,54612180000.0,59778320000.0,67079740000.0,73060540000.0,80896060000.0,85733504100.0,117289791499.99864,150505205399.9993,187049833600.00003,229699848233.3318,277891245833.3325,324954636500.0
Rajasthan,60877180000.0,69097140000.0,78544340000.0,86189880000.0,95407900000.00002,106233260000.00002,116978120000.0,130077360000.00002,137482800000.0,150427050000.0,207323550000.0,267218460000.00003,333085760000.00006,409898370000.0,496681250000.0,581514050000.0
Sikkim,1563100000.0,1727320000.0,1940680000.0000002,2156980000.0,2524760000.0,2896180000.0,3289300000.0,3750040000.0,3969980000.0,4395618600.0,6307014000.0,8320244400.000001,10529321600.000002,13096147400.0,15994600000.0,18840809000.0
Tamil Nadu,105208040000.0,119675500000.00002,135594200000.0,150174920000.0,164710000000.0,182369460000.0,204657740000.0,232982260000.0,241589460000.0,265684729500.0,368589357499.99457,476927720999.9972,596021440000.0,734814624833.3271,891608145833.3301,1045003407500.0
Telangana,50320760000.0,56223160000.0,63221200000.0,70818860000.0,80906280000.0,92264620000.0,105533540000.0,121196320000.0,133343700000.00002,143896846800.0,207205467000.0,273889879200.00003,347048732800.00006,432031205200.0,527989175000.0,622250902000.0
Tripura,2689120000.0,3032820000.0,3583020000.0,4134620000.0,5031320000.0,5545680000.0,6458620000.0,7022381333.333252,7705629333.333252,8556654879.999917,12395373199.999914,16439065919.999912,20874109013.333244,26023528053.333237,31837596666.666565,37552212533.33323
Uttar Pradesh,101367000000.0,115135020000.0,131649840000.0,141650600000.0,159209400000.0,174772360000.0,192685360000.0,215940480000.0,221172980000.0,245212931700.0,335699211750.0,430944013800.0,535730647200.00006,658014769300.0,796185418750.0,931134145500.0
Uttarakhand,16145920000.000002,18425820000.0,20870360000.0,22601460000.0,24802820000.0,27317500000.0,31197040000.0,34425300000.0,36852620000.0,39900972000.0,55141012500.0,71184852000.0,88825576000.00002,109392136000.0,132627312500.0,155348050000.0
West Bengal,72867900000.0,82804960000.00002,94758720000.0,100531480000.00002,111622000000.0,122153780000.0,139941900000.0,164862040000.00003,184034060000.0,192499729500.0,272404194999.99728,356551100999.9986,448948920000.00006,556434418166.6636,677827416666.665,796860057500.0
Delhi,48131720000.00001,54794320000.0,62154400000.00001,69272420000.0,77112560000.0,86184700000.0,96613720000.0,109151280000.0,114883600000.0,126248409000.0,176630685000.0,229679766000.0,287966784000.0,355840741000.0,432508375000.0,507589485000.0
